city,commissions_total,commissions_active,commissions_expired
Jacinto City,12,4,8
Woodlands,12,11,1
Moran,12,10,2
Deport,12,10,2
Saratoga,12,12,0
Wallisville,12,9,3
Lillian,12,11,1
Forestburg,12,11,1
Kress,12,11,1
Bushland,12,12,0
Lavernia,12,12,0
Carbon,12,10,2
Burlington,12,12,0
Nassau Bay,11,10,1
Oak Ridge North,11,9,2
Bryson,11,11,0
Era,11,11,0
Whiteface,11,10,1
La Pryor,11,7,4
Mustang Ridge,11,11,0
Brookston,11,10,1
Dyess Afb,11,9,2
New Deal,11,10,1
Douglassville,11,11,0
Morgans Point Resort,11,8,3
Oyster Creek,11,8,3
Agua Dulce,11,11,0
Haltom,11,10,1
Stagecoach,11,7,4
Point Comfort,11,10,1
Evadale,11,11,0
Knippa,11,11,0
Fort Bliss,11,6,5
Highland Park,11,9,2
Nordheim,11,8,3
Carlsbad,11,10,1
New Home,11,8,3
Montalba,11,8,3
Point Blank,11,9,2
States,11,11,0
Sanderson,11,8,3
Glidden,11,9,2
Lefors,11,9,2
Wiergate,11,10,1
Rock Island,10,9,1
Dalworthington Gardens,10,9,1
Bigfoot,10,9,1
Windom,10,8,2
Donie,10,8,2
Penelope,10,8,2
New London,10,9,1
Cactus,10,9,1
Lyons,10,8,2
Raywood,10,9,1
Trent,10,7,3
Creedmoor,10,10,0
Ransom Canyon,10,10,0
Lacy Lakeview,10,7,3
Sheppard Afb,10,9,1
Sunset Valley,10,8,2
